state_fips,year,state_abbr,state_name,census_region,census_division
22,2016,LA,Louisiana,South,West South Central
22,2017,LA,Louisiana,South,West South Central
22,2018,LA,Louisiana,South,West South Central
22,2019,LA,Louisiana,South,West South Central
22,2020,LA,Louisiana,South,West South Central
22,2021,LA,Louisiana,South,West South Central
22,2022,LA,Louisiana,South,West South Central
22,2023,LA,Louisiana,South,West South Central
23,2008,ME,Maine,Northeast,New England
23,2009,ME,Maine,Northeast,New England
23,2010,ME,Maine,Northeast,New England
23,2011,ME,Maine,Northeast,New England
23,2012,ME,Maine,Northeast,New England
23,2013,ME,Maine,Northeast,New England
23,2014,ME,Maine,Northeast,New England
23,2015,ME,Maine,Northeast,New England
23,2016,ME,Maine,Northeast,New England
23,2017,ME,Maine,Northeast,New England
23,2018,ME,Maine,Northeast,New England
23,2019,ME,Maine,Northeast,New England
23,2020,ME,Maine,Northeast,New England
23,2021,ME,Maine,Northeast,New England
23,2022,ME,Maine,Northeast,New England
23,2023,ME,Maine,Northeast,New England
24,2008,MD,Maryland,South,South Atlantic
24,2009,MD,Maryland,South,South Atlantic
24,2010,MD,Maryland,South,South Atlantic
24,2011,MD,Maryland,South,South Atlantic
24,2012,MD,Maryland,South,South Atlantic
24,2013,MD,Maryland,South,South Atlantic
24,2014,MD,Maryland,South,South Atlantic
24,2015,MD,Maryland,South,South Atlantic
24,2016,MD,Maryland,South,South Atlantic
24,2017,MD,Maryland,South,South Atlantic
24,2018,MD,Maryland,South,South Atlantic
24,2019,MD,Maryland,South,South Atlantic
24,2020,MD,Maryland,South,South Atlantic
24,2021,MD,Maryland,South,South Atlantic
24,2022,MD,Maryland,South,South Atlantic
24,2023,MD,Maryland,South,South Atlantic
25,2008,MA,Massachusetts,Northeast,New England
25,2009,MA,Massachusetts,Northeast,New England
25,2010,MA,Massachusetts,Northeast,New England
25,2011,MA,Massachusetts,Northeast,New England
25,2012,MA,Massachusetts,Northeast,New England
25,2013,MA,Massachusetts,Northeast,New England
25,2014,MA,Massachusetts,Northeast,New England
25,2015,MA,Massachusetts,Northeast,New England
25,2016,MA,Massachusetts,Northeast,New England
25,2017,MA,Massachusetts,Northeast,New England
25,2018,MA,Massachusetts,Northeast,New England
25,2019,MA,Massachusetts,Northeast,New England
25,2020,MA,Massachusetts,Northeast,New England
25,2021,MA,Massachusetts,Northeast,New England
25,2022,MA,Massachusetts,Northeast,New England
25,2023,MA,Massachusetts,Northeast,New England
26,2008,MI,Michigan,Midwest,East North Central
26,2009,MI,Michigan,Midwest,East North Central
26,2010,MI,Michigan,Midwest,East North Central
26,2011,MI,Michigan,Midwest,East North Central
26,2012,MI,Michigan,Midwest,East North Central
26,2013,MI,Michigan,Midwest,East North Central
26,2014,MI,Michigan,Midwest,East North Central
26,2015,MI,Michigan,Midwest,East North Central
26,2016,MI,Michigan,Midwest,East North Central
26,2017,MI,Michigan,Midwest,East North Central
26,2018,MI,Michigan,Midwest,East North Central
26,2019,MI,Michigan,Midwest,East North Central
26,2020,MI,Michigan,Midwest,East North Central
26,2021,MI,Michigan,Midwest,East North Central
26,2022,MI,Michigan,Midwest,East North Central
26,2023,MI,Michigan,Midwest,East North Central
27,2008,MN,Minnesota,Midwest,West North Central
27,2009,MN,Minnesota,Midwest,West North Central
27,2010,MN,Minnesota,Midwest,West North Central
27,2011,MN,Minnesota,Midwest,West North Central
27,2012,MN,Minnesota,Midwest,West North Central
27,2013,MN,Minnesota,Midwest,West North Central
27,2014,MN,Minnesota,Midwest,West North Central
27,2015,MN,Minnesota,Midwest,West North Central
27,2016,MN,Minnesota,Midwest,West North Central
27,2017,MN,Minnesota,Midwest,West North Central
27,2018,MN,Minnesota,Midwest,West North Central
27,2019,MN,Minnesota,Midwest,West North Central
27,2020,MN,Minnesota,Midwest,West North Central
27,2021,MN,Minnesota,Midwest,West North Central
27,2022,MN,Minnesota,Midwest,West North Central
27,2023,MN,Minnesota,Midwest,West North Central
28,2008,MS,Mississippi,South,East South Central
28,2009,MS,Mississippi,South,East South Central
28,2010,MS,Mississippi,South,East South Central
28,2011,MS,Mississippi,South,East South Central
28,2012,MS,Mississippi,South,East South Central
28,2013,MS,Mississippi,South,East South Central
28,2014,MS,Mississippi,South,East South Central
28,2015,MS,Mississippi,South,East South Central
28,2016,MS,Mississippi,South,East South Central
28,2017,MS,Mississippi,South,East South Central
28,2018,MS,Mississippi,South,East South Central
28,2019,MS,Mississippi,South,East South Central
28,2020,MS,Mississippi,South,East South Central
28,2021,MS,Mississippi,South,East South Central
28,2022,MS,Mississippi,South,East South Central
28,2023,MS,Mississippi,South,East South Central
29,2008,MO,Missouri,Midwest,West North Central
29,2009,MO,Missouri,Midwest,West North Central
29,2010,MO,Missouri,Midwest,West North Central
29,2011,MO,Missouri,Midwest,West North Central
29,2012,MO,Missouri,Midwest,West North Central
29,2013,MO,Missouri,Midwest,West North Central
29,2014,MO,Missouri,Midwest,West North Central
29,2015,MO,Missouri,Midwest,West North Central
29,2016,MO,Missouri,Midwest,West North Central
29,2017,MO,Missouri,Midwest,West North Central
29,2018,MO,Missouri,Midwest,West North Central
29,2019,MO,Missouri,Midwest,West North Central
29,2020,MO,Missouri,Midwest,West North Central
29,2021,MO,Missouri,Midwest,West North Central
29,2022,MO,Missouri,Midwest,West North Central
29,2023,MO,Missouri,Midwest,West North Central
30,2008,MT,Montana,West,Mountain
30,2009,MT,Montana,West,Mountain
30,2010,MT,Montana,West,Mountain
30,2011,MT,Montana,West,Mountain
30,2012,MT,Montana,West,Mountain
30,2013,MT,Montana,West,Mountain
30,2014,MT,Montana,West,Mountain
30,2015,MT,Montana,West,Mountain
30,2016,MT,Montana,West,Mountain
30,2017,MT,Montana,West,Mountain
30,2018,MT,Montana,West,Mountain
30,2019,MT,Montana,West,Mountain
30,2020,MT,Montana,West,Mountain
30,2021,MT,Montana,West,Mountain
30,2022,MT,Montana,West,Mountain
30,2023,MT,Montana,West,Mountain
31,2008,NE,Nebraska,Midwest,West North Central
31,2009,NE,Nebraska,Midwest,West North Central
31,2010,NE,Nebraska,Midwest,West North Central
31,2011,NE,Nebraska,Midwest,West North Central
31,2012,NE,Nebraska,Midwest,West North Central
31,2013,NE,Nebraska,Midwest,West North Central
31,2014,NE,Nebraska,Midwest,West North Central
31,2015,NE,Nebraska,Midwest,West North Central
31,2016,NE,Nebraska,Midwest,West North Central
31,2017,NE,Nebraska,Midwest,West North Central
31,2018,NE,Nebraska,Midwest,West North Central
31,2019,NE,Nebraska,Midwest,West North Central
31,2020,NE,Nebraska,Midwest,West North Central
31,2021,NE,Nebraska,Midwest,West North Central
31,2022,NE,Nebraska,Midwest,West North Central
31,2023,NE,Nebraska,Midwest,West North Central
32,2008,NV,Nevada,West,Mountain
32,2009,NV,Nevada,West,Mountain
32,2010,NV,Nevada,West,Mountain
32,2011,NV,Nevada,West,Mountain
32,2012,NV,Nevada,West,Mountain
32,2013,NV,Nevada,West,Mountain
32,2014,NV,Nevada,West,Mountain
32,2015,NV,Nevada,West,Mountain
32,2016,NV,Nevada,West,Mountain
32,2017,NV,Nevada,West,Mountain
32,2018,NV,Nevada,West,Mountain
32,2019,NV,Nevada,West,Mountain
32,2020,NV,Nevada,West,Mountain
32,2021,NV,Nevada,West,Mountain
32,2022,NV,Nevada,West,Mountain
32,2023,NV,Nevada,West,Mountain
33,2008,NH,New Hampshire,Northeast,New England
33,2009,NH,New Hampshire,Northeast,New England
33,2010,NH,New Hampshire,Northeast,New England
33,2011,NH,New Hampshire,Northeast,New England
33,2012,NH,New Hampshire,Northeast,New England
33,2013,NH,New Hampshire,Northeast,New England
33,2014,NH,New Hampshire,Northeast,New England
33,2015,NH,New Hampshire,Northeast,New England
33,2016,NH,New Hampshire,Northeast,New England
33,2017,NH,New Hampshire,Northeast,New England
33,2018,NH,New Hampshire,Northeast,New England
33,2019,NH,New Hampshire,Northeast,New England
33,2020,NH,New Hampshire,Northeast,New England
33,2021,NH,New Hampshire,Northeast,New England
33,2022,NH,New Hampshire,Northeast,New England
33,2023,NH,New Hampshire,Northeast,New England
34,2008,NJ,New Jersey,Northeast,Middle Atlantic
34,2009,NJ,New Jersey,Northeast,Middle Atlantic
34,2010,NJ,New Jersey,Northeast,Middle Atlantic
34,2011,NJ,New Jersey,Northeast,Middle Atlantic
34,2012,NJ,New Jersey,Northeast,Middle Atlantic
