state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual
19,IA,2009,86.25261985638429,1035.0314382766114
19,IA,2010,95.19206825434121,1142.3048190520944
19,IA,2011,93.93828882514164,1127.2594659016997
19,IA,2012,94.49651180332226,1133.958141639867
19,IA,2013,100.29808062311992,1203.576967477439
19,IA,2014,99.48508659210766,1193.821039105292
19,IA,2015,98.52763035038578,1182.3315642046293
19,IA,2016,103.17355482588148,1238.0826579105778
19,IA,2017,102.55120375438868,1230.6144450526642
19,IA,2018,109.27380674038817,1311.285680884658
19,IA,2019,108.03578756990116,1296.4294508388139
19,IA,2020,107.77671526816808,1293.320583218017
20,KS,2008,79.68389687989706,956.2067625587647
20,KS,2009,86.36841661416658,1036.420999369999
20,KS,2010,98.72625379625997,1184.7150455551196
20,KS,2011,104.69880833177693,1256.3856999813231
20,KS,2012,106.18842708518174,1274.261125022181
20,KS,2013,107.85135004381357,1294.2162005257628
20,KS,2014,112.9492450171894,1355.3909402062727
20,KS,2015,110.57748769446,1326.92985233352
20,KS,2016,117.34436368609283,1408.132364233114
20,KS,2017,114.65118255182152,1375.8141906218582
20,KS,2018,124.67589330755224,1496.1107196906269
20,KS,2019,113.25510835022936,1359.0613002027524
20,KS,2020,113.5173755248732,1362.2085062984784
21,KY,2008,94.63891231458689,1135.6669477750427
21,KY,2009,96.25620642170696,1155.0744770604836
21,KY,2010,107.76807933980639,1293.2169520776768
21,KY,2011,108.15565418025436,1297.8678501630523
21,KY,2012,106.54238740601726,1278.508648872207
21,KY,2013,112.95029828264639,1355.4035793917567
21,KY,2014,119.66214640385517,1435.9457568462622
21,KY,2015,114.71706004447027,1376.6047205336433
21,KY,2016,117.64655039100315,1411.7586046920378
21,KY,2017,114.15166837307454,1369.8200204768946
21,KY,2018,123.57193104364235,1482.8631725237083
21,KY,2019,120.07925622395646,1440.9510746874776
21,KY,2020,116.62326022513419,1399.4791227016103
22,LA,2008,128.76379128749468,1545.1654954499363
22,LA,2009,103.18806510131505,1238.2567812157806
22,LA,2010,123.96140262676614,1487.5368315211938
22,LA,2011,120.83654384613118,1450.0385261535741
22,LA,2012,104.99248953938904,1259.9098744726684
22,LA,2013,119.98253974884024,1439.790476986083
22,LA,2014,123.60732258986302,1483.2878710783561
22,LA,2015,120.02334749024673,1440.2801698829608
22,LA,2016,115.7921214054416,1389.5054568652993
22,LA,2017,115.53723810832771,1386.4468572999326
22,LA,2018,122.86190692012121,1474.3428830414546
22,LA,2019,120.70087671827332,1448.4105206192799
22,LA,2020,116.07072429033707,1392.8486914840448
23,ME,2008,84.6726721198943,1016.0720654387317
23,ME,2009,81.53134277237707,978.3761132685249
23,ME,2010,81.83395866833423,982.0075040200109
23,ME,2011,80.09474787369801,961.1369744843762
23,ME,2012,77.7742254808626,933.2907057703512
23,ME,2013,79.13010062313032,949.5612074775638
23,ME,2014,83.90633310323756,1006.8759972388507
23,ME,2015,86.75144430413359,1041.017331649603
23,ME,2016,86.48222108778849,1037.7866530534618
23,ME,2017,87.20511581556917,1046.46138978683
23,ME,2018,96.33095160278445,1155.9714192334134
23,ME,2019,100.53059471341884,1206.367136561026
23,ME,2020,95.77203175395101,1149.2643810474121
24,MD,2008,143.69287698417253,1724.3145238100703
24,MD,2009,153.7346329188734,1844.8155950264807
24,MD,2010,156.9031104494036,1882.8373253928435
24,MD,2011,137.16641417743992,1645.996970129279
24,MD,2012,128.99757882529104,1547.9709459034925
24,MD,2013,136.62972273347552,1639.556672801706
24,MD,2014,139.67854934446314,1676.1425921335576
24,MD,2015,139.90918425434793,1678.9102110521753
24,MD,2016,141.53258975399945,1698.3910770479933
24,MD,2017,131.1596602496957,1573.9159229963484
24,MD,2018,133.6760532363394,1604.112638836073
24,MD,2019,127.92324733390434,1535.0789680068522
24,MD,2020,124.50239792768116,1494.028775132174
25,MA,2008,108.54986542797705,1302.5983851357246
25,MA,2009,102.87360747712704,1234.4832897255244
25,MA,2010,97.3476197045644,1168.1714364547727
25,MA,2011,92.9166351097759,1114.9996213173108
25,MA,2012,93.5264219246049,1122.3170630952588
25,MA,2013,100.97102276971361,1211.6522732365634
