state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual,construction_flag_electric,source_electric
51,VA,2021,130.91967541519173,1571.036104982301,reconstructed_revenue_customers,EIA_HS861_2010
51,VA,2022,144.95531349298375,1739.463761915805,reconstructed_revenue_customers,EIA_HS861_2010
51,VA,2023,141.6301316661223,1699.5615799934676,reconstructed_revenue_customers,EIA_HS861_2010
53,WA,2021,99.45071839522092,1193.408620742651,reconstructed_revenue_customers,EIA_HS861_2010
53,WA,2022,103.84470671853768,1246.1364806224522,reconstructed_revenue_customers,EIA_HS861_2010
53,WA,2023,107.35166335525811,1288.2199602630974,reconstructed_revenue_customers,EIA_HS861_2010
54,WV,2021,129.60609678105368,1555.2731613726442,reconstructed_revenue_customers,EIA_HS861_2010
54,WV,2022,142.12577386016594,1705.509286321991,reconstructed_revenue_customers,EIA_HS861_2010
54,WV,2023,138.55970618709296,1662.7164742451155,reconstructed_revenue_customers,EIA_HS861_2010
55,WI,2021,100.17599025823169,1202.1118830987803,reconstructed_revenue_customers,EIA_HS861_2010
55,WI,2022,106.94195771428257,1283.3034925713907,reconstructed_revenue_customers,EIA_HS861_2010
55,WI,2023,111.05759092212294,1332.6910910654753,reconstructed_revenue_customers,EIA_HS861_2010
56,WY,2021,96.82434849610611,1161.8921819532734,reconstructed_revenue_customers,EIA_HS861_2010
56,WY,2022,98.77995054429697,1185.3594065315635,reconstructed_revenue_customers,EIA_HS861_2010
56,WY,2023,99.24288082407274,1190.9145698888728,reconstructed_revenue_customers,EIA_HS861_2010
